Package_Title,Url,Price,Duration,Rating,Reviews,Group_size,Highlights,Itinerary
Spellbound Nepal,https://www.tourradar.com/t/81678,"US,$,979",8 days,4.6,358,10,"Visit the famous Buddhist stupas of Kathmandu.,Delve into culture and visit ancient temples.,Enjoy an elephant safari in Chitwan National Park.,Explore the mystical caves of Pokhara.","DAY 1: ARRIVAL AT KATHMANDU ,,DAY 2: KATHMANDU SIGHTSEEING,,DAY 3: KATHMANDU - CHITWAN [160 Km/Approx. 4-5 hrs],,DAY 4: CHITWAN SIGHTSEEING,,DAY 5: CHITWAN - POKHARA [135 Km/Approx. 4-5 hrs],,DAY 6: POKHARA SIGHTSEEING,,DAY 7: POKHARA - KATHMANDU [180 Km/Approx. 5-6 hrs],,DAY 8: KATHMANDU DEPARTURE,"
11 Days -LANGTANG VALLEY TREKKING,https://www.tourradar.com/t/169803,"US,$,999",11 days,5.0,72,40,,"Day 1: Kathmandu,,Day 2: Kathmandu,,Day 3: Langtang National Park,,Day 4: Langtang National Park,,Day 5: Langtang National Park,,Day 6: Langtang National Park,,Day 7: Langtang National Park,,Day 8: Langtang National Park,,Day 9: Langtang National Park,,Day 10: Kathmandu,,Day 11: Kathmandu,"
Private Guided Tour to Bandipur and Pokhara,https://www.tourradar.com/t/188195,"US,$,780",6 days,4.8,21,15,,"Day 1 Kathmandu arrival ,,Day 2 Kathmandu sightseeing ,,Day 3 Drive to Bandipur (1030m) Distance: 148km Duration: 4-5 hours ,,Day 4 Drive to Pokhara Distance: 201km Duration: 6-7 hours ,,Day 5 Drive to Sarangkot and Paraglide, Drive to Kathmandu ,,Day 6 Departure ,"
Kathmandu Valley Tour,https://www.tourradar.com/t/116082,"US,$,575",5 days,4.8,93,10,,"Day 01: Arrival Day in Kathmandu,,Day 02: Kathmandu Sightseeing Tour,,Day 03: Hike to Changu and Explore Bhaktapur,,Day 04: Cultural Exploration Day,,Day 05: Departure Day,"
Luxury Tour in Nepal for 50 Plus Ages,https://www.tourradar.com/t/174238,"US,$,1,399",11 days,4.8,32,20,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley,,Day 3: Drive from Kathmandu to Chitwan: 160 KM / 5-6 Hrs,,Day 4: Chitwan Jungle Safari-Full Day Jungle Activities,,Day 5: Drive from Chitwan to Bandipur: 95 Km/3 hours drive,,Day 6: Drive from Bandipur to Pokhara: 80 KM/2-3 hours,,Day 7: Drive to Phedi from Pokhara and trek to Dhampus: 1 hrs drive and 3-4 hrs trek.,,Day 8: Trek from Dhampus to Sarangkot: 4-5 hours trek,,Day 9: Early morning drive to Sarangkot for sunrise view. After breakfast Pokhara full day Sightseeing tour.,,Day 10: Drive back to Kathmandu from Pokhara: 6-7 Hours drive ,,Day 11: Departure day: transfer to the international airport for your final departure!!,"
Nepal Multi Sport Adventure,https://www.tourradar.com/t/167440,"US,$,2,800",11 days,5.0,4,1,,"Day 01 – Arrive in Kathmandu International Airport (1,400 m),,Day 02 – Guided sightseeing in the Kathmandu Valley. Overnight at a Hotel.,,Day 03 – Drive to Charaundi (3 hrs) for Rafting Continue to Chitwan (415 m, 3hrs),,Day 04 – Activities in Chitwan National Park.(415 m),,Day 05 – Drive to Pokhara (800 m 5hrs) ,,Day 06 – Paragliding and Guided Sightseeing in Pokhara. (800 m),,Day 07 – Hike up to Sarangkot (1600 m) and Back to Pokhara. (800 m),,Day 08 – Bungee Jump and explore Pokhara (800 m) City,,Day 09 - fly back to Kathmandu (1400 m) (25 min),,Day 10 – Biking In and Around Kathmandu (1400 m) and Farewell Dinner,,Day 11: Departure from Kathmandu (1400 m) (breakfast and transportation is included),"
Kathmandu Pokhara Tour,https://www.tourradar.com/t/217979,"US,$,524",5 days,4.9,51,12,,"Day 1: Arrival in Kathmandu and transfer to the hotel,,Day 2: Kathmandu sightseeing tour ,,Day 3: Drive to Pokhara by tourist bus ,,Day 4: Excursion hike to Sarangkot and Sightseeing in Pokhara,,Day 5: Drive to Kathmandu from Pokhara by tourist bus,"
Majestic Nepal,https://www.tourradar.com/t/199823,"US,$,1,155",10 days,,,10,,
Mardi Himal Trek,https://www.tourradar.com/t/189429,"US,$,1,945",10 days,4.8,5,16,,"Day 1: Arrival in Kathmandu (1,300m/4,264ft),,Day 2: Drive to Pokhara (827m/2,700ft): 6-7 hours,,Day 3: Drive to Phedi and trek to Deurali (2100m/6,720ft): 30 minutes drive, 4-5 hours trek,,Day 4: Deurali to forest camp (2,520m/8064ft): 6-7 hours,,Day 5:  Forest Camp to low camp (2970m/9504ft): 5-6 hours,,Day 6: Low camp to high camp (3540m/11,328ft): 3-4 hours,,Day 7: High camp to upper viewpoint (4250m/13600ft), return back to high camp: 2-3 hours,,Day 8: High camp to Sidhing Village (1700m/5440ft): 6-7 hours,,Day 9: Trek to Lumre, drive to Pokhara and fly to Kathmandu: 2-3 hours trek, 2 hours drive and 25 minutes flight,,Day 10: Final departure,"
Instant Annapurna Base Camp Trek,https://www.tourradar.com/t/148609,"US,$,990",9 days,4.8,136,8,"Bask in the panoramic views of the Annapurna massifs,Marvel at the UNESCO World Heritage Sites of Kathmandu,Fall in love with the tranquil lakeside paradise of Pokhara","Day 1: Arrive at Tribhuwan international airport, Kathmandu,,Day 2: Drive from Kathmandu to Pokhara, Duration: 6/7 Hours,,Day 03 - Drive to Matque Then Trek to Sinuwa via Jhinu Danda and Chomrong (2310m/77575ft), Duration: 6 Hours,,Day 4: Sinuwa to Deurali (3150m/10330ft), Duration: 6 Hours,,Day 5: Deurali to Annapurna Base Camp (4210m/13810ft), Duration: 5 Hours,,Day 6: ABC to Bamboo (2310m/7575ft), Duration: 7 Hours,,Day 7: Bamboo to Pokhara Duration: 6 Hours,,Day 8: Pokhara to Kathmandu ,,Day 9: Tour Ends/Departure,"
Classic Nepal Tour,https://www.tourradar.com/t/189027,"US,$,1,808",11 days,4.7,7,10,,"Day 1: Arrival at Kathmandu (1,400m),,Day 2: Guided Kathmandu Valley Sightseeing,,Day 3: Kathmandu to Chitwan National Park, Sauraha,,Day 4: Jungle safari activities,,Day 5: Drive from Chitwan to Lumbini,,Day 6: Lumbini to Tansen (Palpa) drive,,Day 7: Drive from Tansen to Pokhara,,Day 8: Pokhara Valley Sightseeing,,Day 9: Drive from Pokhara to Bandipur,,Day 10: Drive from Bandipur to Kathmandu,,Day 11: Final Departure,"
8 Days - Quest for Birdwatching,https://www.tourradar.com/t/171831,"US,$,999",8 days,5.0,72,200,,"Day 1 Arrival Kathmandu (1300m/4265ft),,Day 2 Drive to Godavari; Hike to Phulchowki (2760m),,Day 3 Drive to Nagarjun (2105m/6907ft),,Day 4 Fly to Pokhara (884m/2900ft),,Day 5 Drive to Chitwan,,Day 6 Activities in Chitwan,,Day 7 Drive back Kathmandu,,Day 8 Fly back home or extend your holidays,"
6 Days - Kathmandu-Pokhara Pilgrim Tour,https://www.tourradar.com/t/171823,"US,$,799",6 days,5.0,72,200,,"Day 1 Arrival Kathmandu (1300m/4265ft) ,,Day 2 Pashupatinath &amp; Dakshinkali Temples ,,Day 3 Drive to Manakamana Temple; Drive to Pokhara ,,Day 4 Bindhya Basini &amp; Varahi Temples ,,Day 5 Fly back Kathmandu,, Day 6 Fly back home or extend your holidays,"
Langtang Valley Trekking - 11 Days,https://www.tourradar.com/t/171791,"US,$,1,199",11 days,5.0,72,50,,"Day 1 Arrival Kathmandu (1300m/4265ft),,Day 2 Acclimatize Kathmandu,,Day 3 Drive to Syabrubesi (1460m/4790ft),,Day 4 Trek to Lama Hotel (2470m/8100ft) 6-7 hours/1070m ascent,,Day 5 Trek to Langtang (3430m/11254ft) 4-5 hours/980m ascent,,Day 6 Trek to Kyanjin Gompa (3860m/12665ft) 2-3 hours/460m ascent,,Day 7 Trek to Tsergo Ri (4984m/16353ft) and back,,Day 8 Trek to Ghora Tabela (2970m/9745ft),,Day 9 Trek back to Syabrubesi,,Day 10 Drive back Kathmandu,,Day 11 Fly back home or extend your holidays,"
Langtang Valley Trek,https://www.tourradar.com/t/147997,"US,$,599",11 days,4.8,32,20,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley.,,Day 3: Drive from Kathmandu to Syabru Besi: 6- 7 Hours drive,,Day 4: Trek from Syabru Besi to Lama Hotel: 4-5 hours trek,,Day 5: Trek from Lama Hotel to the Langtang village: 4-5 hours trek,,Day 6: Trek from Langtang village to Kyanjin Gompa: 3-4 hours trek,,Day 7: Kyanjin Gompa exploration day.,,Day 8: Trek from Kyanjin Gompa to Lama Hotel: 5-6 hours trek,,Day 9: Trek from Lama Hotel to Syabru Bensi: 4-5 hours trek,,Day 10: Drive from Syabru Bensi to Kathmandu on a Public Bus: 6-7 hours drive,,Day 11: Departure day: transfer to the international airport for your final departure!!,"
Pikey Peak Trek,https://www.tourradar.com/t/144159,"US,$,1,920",10 days,4.7,7,12,"Take your breath away with impressive views of Mount Everest,Experience Nepal's rich culture at Sherpa villages and monasteries,Be amazed by the impressive snow-capped peaks surrounding you","Day 1: Arrival in Kathmandu (1400m) ,,Day 2: Kathmandu Valley sightseeing ,,Day 3: Drive from Kathmandu to Dhap (2932m) Duration: 7 hours in a private 4W vehicle. ,,Day 4: Trek to Jhapre (2820m) Duration: 4 hours ,,Day 5: Trek to Pikey Base Camp (3640m) Duration: 5 hours ,,Day 6: Trek to Junbesi (2700m) via Pikey Peak (4065 m) Duration: 6 hours ,,Day 7: Hike up to Thupten Chholing Gumba (2920m) Duration: 4 hours ,,Day 8: Trek to Phaplu (2469m) Duration: 4 hours ,,Day 9: Flight: Phaplu to Kathmandu Duration: 35 minutes,,Day 10: Departure,"
Annapurna Short Trekking,https://www.tourradar.com/t/189151,"US,$,893",9 days,4.7,7,10,,"Day 1: Arrival in Kathmandu (1,400 m),,Day 2: Drive to Pokhara (827m/2,700ft) Duration: 6-7 hours,,Day 3: Drive to Siwai and Trek to Chhomrong (2170m) Duration: Drive around 3 hours and trek 4 hours,,Day 4: Trek to Himalaya (2920m) Duration: 5-6 hours,,Day 5: Trek to Annapurna Base Camp (4130m) Duration: 5-6 hours,,Day 6: Trek to Sinuwa (2360m) Duration: 6-7 hours,,Day 7: Trek to Siwai and drive back to Pokhara via Nayapul Duration: 3 hours trek and 2.5 hours’ drive to Pokhara,,Day 8: Kathmandu,,Day 9: Final departure,"
Valley Ridge Trek - 6 Days -The Best Hiking,https://www.tourradar.com/t/171807,"US,$,699",6 days,5.0,72,50,,"Day 01: Arrive in Kathmandu (1300m/4264 ft),,Day 02: Kathmandu: Sightseeing and Trek Preparation,,Day 03: Drive to Sundarijal and trek to Chisapani (2200m/7216 ft) (1 hrs drive and 4-5 hrs walk),,Day 04: Trek to Nagarkot (2156m/7072ft) (5-6 hrs walk),,Day 05: Trek to Nala-Banepa (1440m/3427ft) – Bhaktapur sightseeing-Kathmandu (4-5 hrs walk),,Day 06: Farewell- Home Sweet Home. ,"
Annapurna Base Camp trek - 10 Days,https://www.tourradar.com/t/202963,"US,$,575",10 days,4.8,32,20,,"Day 1: Arrival in Tribhuwan International Airport, Kathmandu and Pre-trip meeting.,,Day 2: Drive to Ghandruk via Pokhara from Kathmandu: 260 km/ 7-8 hours’ drive,,Day 3: Trek from Ghandruk to Chhomrong: 4-5 hours trek,,Day 4: Trek from Chhomrong to Doban: 4-5 hours trek,,Day 5: Trek from Doban to Deurali: 4-5 hours trek,,Day 6: Trek from Deurali to Annapurna Base Camp and to Machhapuchhre Base Camp: 4-5 hours trek,,Day 7: Trek from Machhapuchhre Base Camp to Sinuwa: 5-6 hours trek,,Day 8: Trek from Sinuwa to Nayapul and drive back to Pokhara: 4-5 hours trek/1 hour drive,,Day 9: Drive to Kathmandu from Pokhara: 200 km/ 5-6 hours’ drive,,Day 10: Departure day: transfer to the Tribhuwan International Airport for your departure,"
Langtang Valley Trek,https://www.tourradar.com/t/189270,"US,$,1,234",11 days,4.8,5,16,,"Day 1: Arrival in Kathmandu (1,350m/4,428ft),,Day 2: Kathmandu: sightseeing and trek preparation,,Day 3: Drive from Kathmandu to Syabrubesi (1,550m/5,100ft): 7-8 hours,,Day 4: Trek from Syabrubesi to Lama Hotel (2,380m/7,830ft): 6 hours,,Day 5:  Trek to Mundu (3543m/11,621ft) via Langtang village: 6-7 hours,,Day 6: Mundu to Kyangjin Gompa (3,870m/12,697ft): 4-5 hours,,Day 7: Acclimatization- Explore Tserko Ri (5000m/16,404ft) 7-8 hours,,Day 8: Kyangjin Gompa to Lama Hotel: 6-7 hours,,Day 9: Lama Hotel to Syabrubesi: 4-5 hours,,Day 10:  Syabrubesi to Kathmandu,,Day 11: Final departure,"
Mardi Himal Trek,https://www.tourradar.com/t/153100,"US,$,1,111",11 days,4.7,7,10,"Wake up to sensational sunrises over snow-capped mountain peaks,Fall in love with the infectious tranquillity of lakeside Pokhara,Enjoy your trek with this easier route and savouring local cuisine","Day 1: Arrival in Kathmandu (1400m),,Day 2: Drive to Pokhara (827m) Duration: 6 hours,,Day 3: Drive to Phedi (1130m) and trek to Deurali (2100m) Duration: 30 minutes' drive, 4-5 hours trek,,Day 4: Trek to Forest Camp (2520m) Duration: 6 hours,,Day 5: Trek to Low Camp (3050m) Duration: 5 hours,,Day 6: Trek to High Camp (3900m) Duration: 4 hours,,Day 7: Trek to Upper Viewpoint (4,250m), return to High Camp Duration: 4 hours,,Day 8: Trek to Siding Village (1700m) Duration: 6 hours,,Day 9: Drive to Pokhara Duration: 3 hours,,Day 10: Drive to Kathmandu Duration: 6-7 hours,,Day 11: Trip Concludes,"
PIKEY PEAK TREK – 10 DAYS,https://www.tourradar.com/t/198717,"US,$,899",10 days,5.0,72,80,,"Day 1: Arrival to Kathmandu airport (1300m/4265ft) and stay in Kathmandu first night.,,Day 2: Acclimatize KATHMANDU,,Day 3: Drive to Dhap Bazaar 2850m / 7 hrs,,Day 4: Trek from Dhap Bazaar to Jhapre 2920m(9580ft) 5 hrs,,Day 5: Trek from Jhapre to Pikey Base Camp 3640m(11,942ft) 5-6hrs,,Day 6: Trek from Pikey Base Camp to Junbesi 2680m(8,793ft) / 6 hrs via Pikey Peak 4065m(13337ft),,Day 7: Trek from Junbesi to Taksindu 2960m(9711ft) 5-6hrs,,Day 8: Trek from Taksindu to Phaplu 2459m(8067ft) 4-5hrs, Visit Chiwong Gompa,,Day 9: Fly from Phaplu to Kathmandu(1300m/4265ft),,Day 10: Fly back HOME or extend your HOLIDAYS,"
7 Days Nepal - Explore Nepal in a Week,https://www.tourradar.com/t/171819,"US,$,1,099",7 days,5.0,72,200,,"Day 1 Arrival Kathmandu (1300m/4265ft),,Day 2 Kathmandu,,Day 3 Fly to Pokhara (884m/2900ft),,Day 4 Drive to Lumbini,,Day 5 Drive to Chitwan,,Day 6 Chitwan,,Day 7 Drive back to Kathmandu,"
Discover the Best of Nepal - 10 Days,https://www.tourradar.com/t/171813,"US,$,1,099",10 days,5.0,72,200,,"Day 1 Arrival Kathmandu (1300m/4265ft),,Day 2 Sightseeing around Kathmandu,,Day 3 Drive to Bandipur,,Day 4 Drive to Pokhara (884m/2900ft),,Day 5 Pokhara,,Day 6 Drive to Lumbini,,Day 7 Drive to Chitwan,,Day 8 Chitwan,,Day 9 Drive to Nagarkot (2175m/7136ft),,Day 10 Drive back Kathmandu and Drop to airport,"
Wonderful Nepal Tour,https://www.tourradar.com/t/142754,"US,$,526",10 days,4.8,38,15,,"Day 1: Arrival In Kathmandu( TIA) International Airport(1,365m) Transfer To Hotel Evening Welcome Dinner With Culture Dance. O/N At Hotel,,Day 2: Drive From Kathmandu To Chitwan Private Car.Drive 5 Hours, O/N At Resort,,Day 3: Full Day Chitwan National Park Visit. O/N At Resort,,Day 4: Drive From Chitwan To Lumbini, O/N At Hotel,,Day 5: Drive From Lumbini To Pokhara. O/N At Hotel,,Day 6: Full Day Pokhara Visit. O/N At Hotel,,Day 7: Drive From Pokhara-Kathmandu. O/N At Hotel,,Day 8: Drive From Kathmandu To Nagarkot. O/N At Resort,,Day 9: Drive Nagarkot To Kathmandu. O/N At HOtel,,Day 10: Kathmandu – Departure From Kathmandu,"
Discover Nepal,https://www.tourradar.com/t/124508,"US,$,2,060",15 days,4.6,17,16,"Step back in time in medieval UNESCO Bhaktapur,Admire stunning alpine views from the ridge at Nargakot,Walk to the Peace Pagoda for views across Phewa Lake,Go on a jeep safari in search of the one-horned Rhino","Day 1: Join trip in Kathmandu,,Day 2: Explore the bazaars and busy streets of Kathmandu,,Day 3: Discover the ancient City of Devotees and drive to Nagarkot,,Day 4: See the sunrise over the Himalayas in Nagarkot,,Day 5: Drive to Kurintar and enjoy whitewater rafting along the Trisuli River (optional),,Day 6: Visit Gorkha and walk through local villages.,,Day 7: Visit the Manakamana Temple and drive to Pokhara,,Day 8: Walk through the Gurung and Chettri settlements and take in views of the Annapurna range,,Day 9: Discover Pokhara's Mountain Museum and visit the Tashiling Tibetan settlement,,Day 10: Drive to Bandipur and explore the town and its bazaar,,Day 11: Drive to Chitwan National Park,,Day 12: Search for one-horned rhino in Chitwan,,Day 13: Drive to Kathmandu,,Day 14: Free time in Kathmandu,,Day 15: Trip ends in Kathmandu,"
A adventure sports tour in Nepal with Kali Gandaki Rafting,https://www.tourradar.com/t/215402,"US,$,999",10 days,4.8,32,20,,"Day 1: Arrival at Tribhuwan International Airport, Kathmandu and Pre-trip meeting.,,Day 2: Drive from Kathmandu to Chitwan: 160 KM/5-6 hours,,Day 3: Full Day Jungle Activities in Chitwan National Park.,,Day 4: Drive to Pokhara from Chitwan: 150 km/3-4 hours drive,,Day 5: Full day activities Paragliding, Bungee, Zip flyer and Hot air ballooning,,Day 6: Drive to Kusma for Rafting and raft for 3-4 hours and overnight at camp: 2-3 hours drive,,Day 7: After breakfast rafting for 2-3 hours and drive back to Pokhara: 2-3 hours drive,,Day 8: Full day sightseeing in Pokhara,,Day 9: Drive to Kathmandu from Pokhara: 200 km/ 5-6 hours drive,,Day 10: Departure day: Transfer to the Tribhuwan International Airport for your departure.,"
